001, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/ai-specialists/ai-assistant.md
022, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/core/meta.md
023, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/core/meta2.md
024, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/core/skill-extractor.md
025, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/core/valerie.md
026, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/core/worktree-subagent.md
027, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/data-ai/ai-engineer.md
028, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/data-ai/computer-vision-engineer.md
029, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/data-ai/data-engineer.md
030, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/data-ai/data-scientist.md
031, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/data-ai/ml-engineer.md
032, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/data-ai/mlops-engineer.md
033, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/data-ai/mlx-training-specialist.md
034, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/data-ai/nlp-engineer.md
035, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/data-ai/quant-analyst.md
036, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/database/database-admin.md
037, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/database/database-architect.md
038, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/database/database-optimizer.md
039, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/deep-research-team/academic-researcher.md
040, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/deep-research-team/competitive-intelligence-analyst.md
041, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/deep-research-team/data-analyst.md
042, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/deep-research-team/fact-checker.md
043, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/deep-research-team/nia-oracle.md
044, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/deep-research-team/parallel-research-executor.md
045, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/deep-research-team/quality-gate-validator.md
046, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/deep-research-team/query-clarifier.md
047, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/deep-research-team/report-generator.md
048, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/deep-research-team/research-brief-generator.md
049, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/deep-research-team/research-coordinator.md
050, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/deep-research-team/research-expert.md
051, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/deep-research-team/research-orchestrator-v2.md
052, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/deep-research-team/research-standards.md
053, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/deep-research-team/research-synthesizer.md
054, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/deep-research-team/research-task-decomposer.md
055, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/deep-research-team/technical-researcher.md
056, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/development/backend-architect.md
057, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/development/cli-ui-designer.md
058, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/development/command-expert.md
059, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/development/context-manager.md
060, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/development/debugger.md
061, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/development/devops-engineer.md
062, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/development/dx-optimizer.md
063, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/development/error-detective.md
064, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/development/frontend-developer.md
065, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/development/fullstack-developer.md
066, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/development/mcp-expert.md
067, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/development/monorepo-architect.md
068, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/development/n8n-workflow-expert.md
069, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/development/ui-ux-designer.md
070, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/development/unused-code-cleaner.md
071, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/devops-infrastructure/cloud-architect.md
072, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/devops-infrastructure/deployment-engineer.md
073, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/devops-infrastructure/devops-troubleshooter.md
074, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/devops-infrastructure/log-analyzer.md
075, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/devops-infrastructure/monitoring-specialist.md
076, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/devops-infrastructure/network-engineer.md
077, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/devops-infrastructure/security-engineer.md
078, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/documentation/api-documenter.md
079, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/documentation/changelog-generator.md
080, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/documentation/technical-writer.md
081, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/expert-advisors/agent-expert.md
082, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/expert-advisors/architect-reviewer.md
083, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/expert-advisors/css-expert.md
084, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/expert-advisors/database-expert.md
085, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/expert-advisors/dependency-manager.md
086, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/expert-advisors/docker-expert.md
087, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/expert-advisors/documentation-expert.md
088, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/expert-advisors/git-expert.md
089, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/expert-advisors/github-actions-expert.md
090, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/expert-advisors/livekit-expert.md
091, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/expert-advisors/nextjs-expert.md
092, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/expert-advisors/pytest-tdd-expert.md
093, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/expert-advisors/refactoring-expert.md
094, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/expert-advisors/skill-creator-expert.md
095, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/expert-advisors/typescript-expert.md
096, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/integrations/jira-expert.md
097, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/mcp/asana-expert.md
098, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/mcp/atlassian-expert.md
099, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/mcp/claude-mem-expert.md
100, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/mcp/context7-docs-expert.md
101, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/mcp/linear-expert.md
102, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/mcp/mcp-best-practices-documenter.md
103, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/mcp/mcp-browser-workflow-creator.md
104, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/mcp/mcp-data-pipeline-creator.md
105, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/mcp/mcp-docker-expert.md
106, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/mcp/mcp-dynamic-discovery-specialist.md
107, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/mcp/tavily-search-expert.md
108, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/odk-docs-sync.md
109, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/odk-rust-reviewer.md
110, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/odk-spec-writer.md
111, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/odk-test-auditor.md
112, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/programming-languages/bash-pro.md
113, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/programming-languages/golang-pro.md
114, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/programming-languages/python-pro.md
115, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/programming-languages/rust-pro.md
116, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/programming-languages/shell-scripting-pro.md
117, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/programming-languages/sql-pro.md
118, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/programming-languages/temporal-python-pro.md
119, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/programming-languages/typescript-pro.md
120, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/quality/cli-expert.md
121, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/quality/integration-tester.md
122, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/quality/load-testing-specialist.md
123, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/quality/logging-specialist.md
124, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/quality/parallel-tdd-expert.md
125, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/quality/performance-engineer.md
126, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/quality/performance-profiler.md
127, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/quality/react-performance-optimization.md
128, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/quality/tdd-orchestrator.md
129, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/quality/test-automator.md
130, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/quality/test-engineer.md
131, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/quality/web-vitals-optimizer.md
132, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/top-interview/ai-interview-market-researcher.md
133, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/top-interview/ai-interview-trend-analyst.md
134, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/utilitarian/migration-auditor.md
135, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/utilitarian/slop-remover.md
136, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/web-tools/nextjs-architecture-expert.md
137, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/web-tools/react-performance-optimizer.md
138, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/web-tools/seo-analyzer.md
139, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/web-tools/url-context-validator.md
140, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/web-tools/url-link-extractor.md
141, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/web-tools/web-accessibility-checker.md
